LIBMORPHOCIMO3|CIMO3|CODMORPHOCIMO3|Comm|LESION|LIBLESION|MODIFADICAP
||||F4A0|TUMEUR FIBROBLASTIQUE A MALIGNITE INCERTAINE - Ne plus utiliser|
Tumeur fibrohistiocytaire plexiforme|M-8835/1|88351||F4A3|TUMEUR FIBROHISTIOCYTIQUE PLEXIFORME|
Tumeur myofibroblastique, SAI|M-8825/1|88251||F4A5|FIBROSARCOME INFLAMMATOIRE - TUMEUR MYOFIBROBLASTIQUE INFLAMMATOIRE (OMS)|
Angiomyxome|M-8841/1|88411||F4D5|ANGIOMYXOME AGRESSIF - Ne plus utiliser|
Dermatofibrosarcome, SAI (C44.-)|M-8832/3|88323||F4K0|DERMATOFIBROSARCOME PROGRESSIF ET RECIDIVANT - DERMATOFIBROME DE DARIER-FERRAND|
Dermatofibrosarcome, SAI (C44.-)|M-8832/3|88323|G|F4K3|DERMATOFIBROSARCOME PROGRESSIF ET RECIDIVANT AVEC CONTINGENT FIBROSARCOMATEUX- DERMATOFIBROME DE DARIER-FERRAND AVEC CONTINGENT FIBROSARCOMATEUX|
Dermatofibrosarcome protubérant pigmenté (C44.-)|M-8833/3|88333||F4K5|DERMATOFIBROSARCOME PROGRESSIF ET RECIDIVANT PIGMENTE - TUMEUR DE BEDNAR|
Fibroblastome à cellules géantes|M-8834/1|88341||F4K7|FIBROBLASTOME A CELLULES GEANTES|
Histiocytome fibreux angiomatoïde|M-8836/1|88361||F4M8|HISTIOCYTOFIBROME ANGIOMATOIDE (PROFOND)|
Fibrosarcome, SAI|M-8810/3|88103||F7A0|FIBROSARCOME (SAI)|
Tumeur fibreuse solitaire maligne|M-8815/3|88153||F7A1|TUMEUR FIBREUSE SOLITAIRE MALIGNE|
Fibrosarcome infantile|M-8814/3|88143||F7A2|FIBROSARCOME CONGENITAL|
Fibrosarcome, SAI|M-8810/3|88103||F7A4|FIBROSARCOME RADIO-INDUIT - FIBROSARCOME EN TERRITOIRE IRRADIE|
Fibrosarcome, SAI|M-8810/3|88103||F7A6|FIBROSARCOME SUR CICATRICE|
Fibromyxosarcome|M-8811/3|88113|88403|F7D0|MYXOSARCOME - FIBROMYXOSARCOME - MYXOFIBROSARCOME|
Fibromyxosarcome|M-8811/3|88113||F7D1|SARCOME FIBROMYXOIDE DE BAS GRADE D'EVANS|
Fibrosarcome, SAI|M-8810/3|88103|88113|F7D6|TUMEUR HYALINISANTE AVEC ROSETTES GEANTES|
Histiocytome fibreux malin|M-8830/3|88303||F7M0|HISTIOCYTOME FIBREUX MALIN (SAI)|
Histiocytome fibreux malin|M-8830/3|88303||F7M2|HISTIOCYTOME FIBREUX MALIN TYPE STORIFORME ET PLEOMORPHE|
Histiocytome fibreux malin|M-8830/3|88303|88113|F7M3|HISTIOCYTOME FIBREUX MALIN TYPE MYXOIDE|
Histiocytome fibreux malin|M-8830/3|88303||F7M5|HISTIOCYTOME FIBREUX MALIN A CELLULES GEANTES|
Histiocytome fibreux malin|M-8830/3|88303|G|F7M7|HISTIOCYTOME FIBREUX MALIN DE TYPE INFLAMMATOIRE|
Histiocytome fibreux malin|M-8830/3|88303|G|F7M8|HISTIOCYTOME FIBREUX MALIN DE TYPE ANGIOMATOIDE - Ne plus utiliser CF F4M8|
Histiocytome fibreux malin|M-8830/3|88303|G|F7N0|FIBROXANTHOME MALIN (SAI)|
Histiocytome fibreux malin|M-8830/3|88303|G|F7R0|XANTHOME MALIN - HISTIOCYTOXANTHOME MALIN (SAI)|
Tumeur bénigne des cordons sexuels et du stroma gonadique, SAI|M-8590/0|85900||G0A0|TUMEUR GERMINATIVE BENIGNE (SAI)|
Cystadénome séreux papillaire, SAI (C56.9)|M-8460/0|84600||G0A2|CYSTADENOME SEREUX DE L'OVAIRE - CYSTADENOME PAPILLAIRE SEREUX DE L'OVAIRE|
Papillome séreux de surface,  (C56.9)|M-8461/0|84610||G0A4|PAPILLOME SEREUX DE SURFACE DE L'OVAIRE|
Adénofibrome séreux, SAI|M-9014/0|90140||G0A6|ADENOFIBROME SEREUX DE L'OVAIRE - CYSTADENOFIBROME SEREUX DE L'OVAIRE|
Cystadénome mucineux, SAI (C56.9)|M-8470/0|84700||G0B2|CYSTADENOME MUCINEUX DE L'OVAIRE|
Adénofibrome mucineux, SAI|M-9015/0|90150||G0B4|ADENOFIBROME MUCINEUX DE L'OVAIRE - CYSTADENOFIBROME MUCINEUX DE L'OVAIRE|
Adénome endométrioïde, SAI|M-8380/0|83800||G0C2|ADENOME ENDOMETRIOIDE DE L'OVAIRE - CYSTADENOME ENDOMETRIOIDE DE L'OVAIRE|
Adénofibrome endométrioïde, SAI|M-8381/0|83810||G0C4|ADENOFIBROME ENDOMETRIOIDE DE L'OVAIRE - CYSTADENOFIBROME ENDOMETRIOIDE DE L'OVAIRE|
Adénofibrome à cellules claires (C56.9)|M-8313/0|83130||G0D2|TUMEUR BENIGNE A CELLULES CLAIRES (MESONEPHROIDE) DE L'OVAIRE- ADENOFIBROME A CELLULES CLAIRES DE L'OVAIRE|
Tumeur de Brenner, SAI (C56.9)|M-9000/0|90000||G0E4|TUMEUR DE BRENNER BENIGNE|
Cystadénome, SAI|M-8440/0|84400|G|G0E6|TUMEUR MIXTE EPITHELIALE BENIGNE DE L'OVAIRE|
Tératome bénin|M-9080/0|90800||G0G0|TERATOME MATURE (SAI)|
Kyste dermoïde, SAI|M-9084/0|90840||G0G1|TERATOME MATURE KYSTIQUE - KYSTE DERMOIDE|
kyste enteroide|M-26660|26660||G0G3|KYSTE ENTEROIDE|
Goitre ovarien, SAI (C56.9)|M-9090/0|90900||G0G4|STRUME - GOITRE GONADIQUE|
Thécome, SAI (C56.9)|M-8600/0|86000||G0N0|THECOME - FIBROTHECOME|
Androblastome bénin|M-8630/0|86300||G0R0|ANDROBLASTOME BENIN (SAI)|
Tumeur à cellules de Sertoli, SAI|M-8640/1|86401||G0R1|ANDROBLASTOME TUBULAIRE DE PICK - TUMEUR A CELLULES DE SERTOLI - ADENOME TUBULE DE PICK|
||||G0R2|NODULE SERTOLIEN DU TESTICULE CRYPTORCHIDE|
Tumeur à cellules de Sertoli lipidiques (C56.9)|M-8641/0|86410||G0R3|ANDROBLASTOME A CELLULES DE SERTOLI LIPIDIQUE - TUMEUR A CELLULES DE SERTOLI LIPIDIQUE - FOLLICULOME LIPIDIQUE DE LECENE|
Tumeur à cellules de Sertoli-Leydig, bien différenciée|M-8631/0|86310||G0R4|TUMEUR A CELLULES DE SERTOLI ET LEYDIG DIFFERENCIEE|
Tumeur à cellules du hile (C56.9)|M-8660/0|86600||G0R5|TUMEUR A CELLULES DE LEYDIG - TUMEUR A CELLULES DU HILE DE L'OVAIRE|supprimer : TUMEUR A CELLULES DE LEYDIG -
Tumeur bénigne à cellules de Leydig (C62.-)|M-8650/0|86500||G0R5|TUMEUR A CELLULES DE LEYDIG - TUMEUR A CELLULES DU HILE DE L'OVAIRE|supprimer :  - TUMEUR A CELLULES DU HILE DE L'OVAIRE changer code
Tumeur à cellules de Sertoli-Leydig de différenciation intermédiaire|M-8631/1|86311||G0R6|TUMEUR A CELLULES DE SERTOLI ET LEYDIG A DIFFERENCIATION INTERMEDIAIRE OU INCOMPLETEMENT DIFFERENCIE|
Tumeur à cellules de Sertoli-Leydig, peu différenciée|M-8631/3|86313||G0R7|TUMEUR A CELLULES DE SERTOLI ET LEYDIG PEU DIFFERENCIE OU INDIFFERENCIE (TUMEUR SARCOMATOIDE)|
Tumeur à cellules de Sertoli-Leydig, différenciation intermédiaire, avec éléments hétérologues|M-8634/1|86341||G0R8|TUMEUR A CELLULES DE SERTOLI ET LEYDIG AVEC DIFFERENCIATION HETEROLOGUE|
Tumeur rétiforme à cellules de Sertoli-Leydig|M-8633/1|86331||G0R9|TUMEUR A CELLULES DE SERTOLI ET LEYDIG DE TYPE RETIFORME|
Lutéome, SAI (C56.9)|M-8610/0|86100||G0S0|LUTEOME ET LUTEOSE GRAVIDIQUE|
Tumeur à cellules de Sertoli, SAI|M-8640/1|86401||G0U0|TUMEUR A CELLULES STEROIDIENNES BENIGNE SANS AUTRE SPECIFICATION (SAS)|
Lutéome, SAI (C56.9)|M-8610/0|86100|G|G0U1|LUTEOME STROMAL|
Gonadoblastome|M-9073/1|90731|G|G0W0|GONADOBLASTOME (SAI)|
Gonadoblastome|M-9073/1|90731|G|G0W1|PFLUGEROME|
Gonadoblastome|M-9073/1|90731|G|G0W9|GONADOBLASTOSE|
Tumeur des cordons sexuels et du stroma gonadique, SAI|M-8590/1|85901|G|G4A0|TUMEUR GERMINATIVE A LA LIMITE DE LA MALIGNITE (SAI)|
Cystadénome séreux à la limite de la malignité (C56.9)|M-8442/1|84421||G4A2|CYSTADENOME SEREUX DE L'OVAIRE A LA LIMITE DE LA MALIGNITE - CYSTADENOME PAPILLAIRE SEREUX DE L'OVAIRE A LA LIMITE DE LA MALIGNITE|
Tumeur séreuse papillaire de surface à la limite de la malignité (C56.9)|M-8463/1|84631||G4A4|PAPILLOME SEREUX DE SURFACE DE L'OVAIRE A LA LIMITE DE LA MALIGNITE|
Adénofibrome séreux à la limite de la malignité|M-9014/1|90141||G4A6|ADENOFIBROME SEREUX DE L'OVAIRE A LA LIMITE DE LA MALIGNITE - CYSTADENOFIBROME SEREUX DE L'OVAIRE A LA LIMITE DE LA MALIGNITE|
Tumeur kystique mucineuse à la limite de la malignité (C56.9)|M-8472/1|84721||G4B2|CYSTADENOME MUCINEUX DE L'OVAIRE A LA LIMITE DE LA MALIGNITE|
Adénofibrome mucineux à la limite de la malignité|M-9015/1|90151||G4B4|ADENOFIBROME MUCINEUX DE L'OVAIRE A LA LIMITE DE LA MALIGNITE - CYSTADENOFIBROME MUCINEUX DE L'OVAIRE A LA LIMITE DE LA MALIGNITE|
Adénome endométrioïde à la limite de la malignité|M-8380/1|83801||G4C2|ADENOME ENDOMETRIOIDE DE L'OVAIRE A LA LIMITE DE LA MALIGNITE - CYSTADENOME ENDOMETRIOIDE DE L'OVAIRE A LA LIMITE DE LA MALIGNITE|
Adénofibrome endométrioïde à la limite de la malignité|M-8381/1|83811||G4C4|ADENOFIBROME ENDOMETRIOIDE DE L'OVAIRE A LA LIMITE DE LA MALIGNITE - CYSTADENOFIBROME ENDOMETRIOIDE DE L'OVAIRE A LA LIMITE DE LA MALIGNITE|
Tumeur kystique à cellules claires à la limite de la malignité (C56.9)|M-8444/1|84441||G4D2|TUMEUR A CELLULES CLAIRES DE L'OVAIRE A LA LIMITE DE LA MALIGNITE|
Tumeur de Brenner à la limite de la malignité (C56.9)|M-9000/1|90001||G4E4|TUMEUR DE BRENNER A LA LIMITE DE LA MALIGNITE|
|M-8440/1|84441|G|G4E6|TUMEUR MIXTE EPITHELIALE DE L'OVAIRE A LA LIMITE DE LA MALIGNITE|
Tumeur de la granulosa de type adulte (C56.9)|M-8620/1|86201||G4P0|TUMEUR DE LA GRANULOSA - FOLLICULOME|
Tumeur de la granulosa juvénile (C56.9)|M-8622/1|86221||G4P2|TUMEUR DE LA GRANULOSA JUVENILE|
Tumeur de la granulosa et de la thèque (C56.9)|M-8621/1|86211||G4P4|TUMEUR DE LA GRANULOSA ET DE LA THEQUE - FOLLICULOTHECOME|
Cystadénocarcinome, SAI|M-9590/3|95903|G|G7A0|TUMEUR GERMINATIVE MALIGNE (SAI)|
Cystadénocarcinome séreux papillaire (C56.9)|M-8460/3|84603||G7A2|ADENOCARCINOME SEREUX DE L'OVAIRE - ADENOCARCINOME PAPILLAIRE SEREUX DE L'OVAIRE - CYSTADENOCARCINOME PAPILLAIRE SEREUX DE L'OVAIRE|
Carcinome séreux papillaire de surface (C56.9)|M-8461/3|84613||G7A4|CARCINOME PAPILLAIRE SEREUX DE SURFACE DE L'OVAIRE|
Adénocarcinofibrome séreux|M-9014/3|90143||G7A6|ADENOFIBROME MALIN SEREUX DE L'OVAIRE - CYSTADENOFIBROME MALIN SEREUX DE L'OVAIRE|
Cystadénocarcinome mucineux, SAI (C56.9)|M-8470/3|84703||G7B2|ADENOCARCINOME MUCINEUX DE L'OVAIRE - CYSTADENOCARCINOME MUCINEUX DE L'OVAIRE|
Adénocarcinofibrome mucineux|M-9015/3|90153||G7B4|ADENOFIBROME MALIN MUCINEUX DE L'OVAIRE - CYSTADENOFIBROME MALIN MUCINEUX DE L'OVAIRE|
Adénocarcinome endométrioïde, SAI|M-8380/3|83803||G7C2|ADENOCARCINOME ENDOMETRIOIDE DE L'OVAIRE|
Adénocarcinome avec métaplasie malpighienne|M-8570/3|85703||G7C3|ADENOACANTHOME ENDOMETRIOIDE DE L'OVAIRE|
Adénofibrome endométrioïde malin|M-8381/3|83813||G7C4|ADENOFIBROME MALIN ENDOMETRIOIDE DE L'OVAIRE - CYSTADENOFIBROME MALIN ENDOMETRIOIDE DE L'OVAIRE|
|M-8443/3|83103|G|G7D2|TUMEUR GERMINATIVE MALIGNE A CELLULES CLAIRES - CARCINOME A CELLULES CLAIRES DE L'OVAIRE - ADENOCARCINOME A CELLULES CLAIRES DE L'OVAIRE|
Tumeur de Brenner maligne (C56.9)|M-9000/3|90003||G7E4|TUMEUR DE BRENNER MALIGNE|
Cystadénocarcinome, SAI|M-8440/3|84403|G|G7E6|TUMEUR MIXTE EPITHELIALE MALIGNE DE L'OVAIRE|
Leucémie aiguë, SAI|M-9801/3|98013|G|G7F2|TUMEUR GERMINATIVE MALIGNE INDIFFERENCIEE - CARCINOME INDIFFERENCIE D'ORIGINE GERMINATIVE|
Kyste dermoïde avec transformation maligne (C56.9)|M-9084/3|90843||G7G0|TERATOME MATURE CANCERISE (SAI)|
Tératome bénin
Tumeur carcinoïde SAI (sauf appendice)|M-9080/0M|90800||G7G5|TERATOME MATURE AVEC CARCINOIDE|
Kyste dermoïde avec transformation maligne (C56.9)|M-9084/3|90843|G|G7G6|TERATOME MATURE AVEC CARCINOME EPIDERMOIDE|
Goitre ovarien cancérisé (C56.9)|M-9090/3|90903||G7G7|TERATOME MATURE AVEC CARCINOME THYROIDIEN|
Carcinoïde et goitre ovarien (C56.9)|M-9091/1|90911||G7G8|STRUME GONADIQUE ET CARCINOIDE|
Tératome malin, SAI|M-9080/3|90803|G|G7H0|TUMEUR GERMINALE IMMATURE (SAI)|
Tératome malin, SAI|M-9080/3|90803||G7H1|TERATOME IMMATURE (SAI)|
Tératome malin de type intermédiaire|M-9083/3|90833||G7H2|TERATOME IMMATURE AVEC COMPOSANTE MATURE|
Tératocarcinome|M-9081/3|90813||G7H3|TERATOCARCINOME|
Carcinome embryonnaire, SAI|M-9070/3|90703||G7H5|CARCINOME EMBRYONNAIRE|
Tumeur vitelline|M-9071/3|90713||G7H6|CARCINOME EMBRYONNAIRE TYPE INFANTILE - TUMEUR VITELLINE - TUMEUR DU SINUS ENDODERMIQUE|
Polyembryome|M-9072/3|90723||G7H8|POLYEMBRYOME|
Dysgerminome|M-9060/3|90603||G7K0|SEMINOME - DYSGERMINOME (SAI)|
Séminome anaplasique (C62.-)|M-9062/3|90623||G7K2|SEMINOME ANAPLASIQUE|
Séminome spermatocytaire (C62.-)|M-9063/3|90633||G7K4|SEMINOME SPERMATOCYTAIRE|
Germinome|M-9064/3|90643|G|G7L0|TUMEUR GERMINALE CICATRICIELLE|
Tumeur mixte des cellules germinales|M-9085/3|90853||G7M0|TUMEUR GERMINALE ASSOCIEE (SAI)|
Tumeur mixte des cellules germinales|M-9085/3|90853|G|G7M1|CARCINOME EMBRYONNAIRE ET SEMINOME|
Tumeur mixte des cellules germinales|M-9085/3|90853|G|G7M2|CARCINOME EMBRYONNAIRE ET TUMEUR VITELLINE|
Tumeur mixte des cellules germinales|M-9085/3|90853|G|G7M3|CARCINOME EMBRYONNAIRE ET POLYEMBRYOME|
Tumeur mixte des cellules germinales|M-9085/3|90853|G|G7M4|TERATOCARCINOME ET SEMINOME|
Tumeur mixte des cellules germinales|M-9085/3|90853|G|G7M5|TERATOCARCINOME ET TUMEUR VITELLINE|
Tumeur mixte des cellules germinales|M-9085/3|90853|G|G7M6|TERATOME IMMATURE ET SEMINOME|
Tumeur maligne de la granulosa (C56.9)|M-8620/3|86203||G7P0|TUMEUR MALIGNE DE LA GRANULOSA - FOLLICULOME MALIN|
Androblastome malin|M-8630/3|86303||G7R0|TUMEUR A CELLULE DE SERTOLI ET LEYDIG MALIGNE (SAI)|
Tumeur maligne à cellules de Leydig (C62.-)|M-8650/3|86503||G7R5|TUMEUR A CELLULES DE LEYDIG MALIGNE|
Tumeur à cellules de Sertoli-Leydig, peu différenciée|M-8631/3|86313|G|G7R7|TUMEUR A CELLULES DE SERTOLI ET LEYDIG INDIFFERENCIEE MALIGNE|
Tumeur des cordons sexuels avec tubules annulaires (C56.9)|M-8623/1|86231||G7T0|TUMEUR DES CORDONS SEXUELS A TUBULES ANNELES|
Carcinome à cellules de Sertoli (C62.-)|M-8640/3|86403||G7U0|TUMEUR A CELLULES STEROIDIENNES MALIGNE SANS AUTRE SPECIFICATION (SAS)|
Gynandroblastome (C56.9)|M-8632/1|86321||G7V0|GYNANDROBLASTOME|
Gonadoblastome|M-9073/1|90731||G7W0|GONADOBLASTOME ASSOCIE A UNE TUMEUR GERMINALE|
Gonadoblastome|M-9073/1|90731||G7W9|GONADOBLASTOSE ASSOCIEE A UNE TUMEUR GERMINALE|
histiocytose|M-77800|77800||H0P0|HISTIOCYTOSE BENIGNE (SAI)|
||||H0P1|DERMO-ARTHRITE HISTIOCYTAIRE FAMILIALE DE ZAID|
syndrome des histiocytes bleu-de-mer|DC-418A0|418A0||H0P2|Ne plus utiliser - CF 7549 - HISTIOCYTES BLEU DE MER SYNDROME DES|
histiocytose|M-77800|77800|G|H0P6|HISTIOCYTOSE INFANTILE DE GIANNOTI|
Histiocytose à cellules de Langerhans, SAI|M-9751/1|97511||H0R0|HISTIOCYTOSE LANGERHANSIENNE|le H a été mis à sa place
Histiocytose à cellules de Langerhans, unifocale|M-9752/1|97521||H0R1|GRANULOME EOSINOPHILIQUE - GRANULOME LANGERHANSIEN|
Histiocytose à cellules de Langerhans, unifocale|M-9752/1|97521|G|H0R2|GRANULOME EOSINOPHILE CUTANEOMUQUEUX PERI-ORIFICIEL|
Histiocytose à cellules de Langerhans, disséminée|M-9754/3|97543||H0R4|HISTIOCYTOSE X A FORME PLURIFOCALE ET PLURIVISCERALE|
Histiocytose à cellules de Langerhans, multifocale|M-9753/1|97531||H0R6|HAND-SCHULLER-CHRISTIAN  MALADIE DE|HANS est corrigé en HAND
reticulose|M-77800|77800||H0S0|RETICULOHISTIOCYTOSE - RETICULOSE (SAI)|
reticulohistiocytose|M-77800|77800|G|H0S2|RETICULOHISTIOCYTOSE AUTO-EVOLUTIVE DE HASHIMOTO-PRITZKER|
dermato-arthrite lipoïde|D6-64900|64900||H0S3|RETICULOHISTIOCYTOSE MULTICENTRIQUE - DERMATO-ARTHRITE LIPOIDE - RETICULO-HISTIOCYTOME A LOCALISATIONS CUTANEE ET VISCERALE|supprimer :  - RETICULO-HISTIOCYTOME A LOCALISATIONS CUTANEE ET VISCERALE
Histiocytome, SAI|M-8831/0|88310|G|H0S3|RETICULOHISTIOCYTOSE MULTICENTRIQUE - DERMATO-ARTHRITE LIPOIDE - RETICULO-HISTIOCYTOME A LOCALISATIONS CUTANEE ET VISCERALE|supprimer : RETICULOHISTIOCYTOSE MULTICENTRIQUE - DERMATO-ARTHRITE LIPOIDE - changer code
reticulose|M-77800|77800|G|H0S4|RETICULOSE DE CROSTI|
mastocytose|M-72550|72550||H0V0|MASTOCYTOSE (SAI)|
mastocytose|M-72550|72550||H0V1|MASTOCYTOSE CUTANEE|
urticaire pigmentaire|D0-20150|20150||H0V2|MASTOCYTOSE PIGMENTEE ERUPTIVE- URTICAIRE PIGMENTAIRE|
Mastocytome, SAI|M-9740/1|97401||H0V4|MASTOCYTOME BENIN|
mastocytose|M-72550|72550|G|H0V6|MASTOCYTOSE BULLEUSE|
mastocytose|M-72550|72550|G|H0V8|MASTOCYTOSE PAPULEUSE ET NODULAIRE|
mastocytose|M-72550|72550|G|H0V9|MASTOCYTOSE CUTANEE DIFFUSE|
Histiocytose à cellules de Langerhans, SAI|M-9751/1|97511|G|H4R0|HISTIOCYTOSE X D'EVOLUTION INCERTAINE|
||||H4U0|Ne plus utiliser - ACTIVATION HISTIOCYTAIRE: SYNDROME D' (SAI) Cf. FF0515 SG0515 SM0515 SR0515|
||||H4U1|Ne plus utiliser - ACTIVATION HISTIOCYTAIRE (SYNDROME D') : DE CAUSE CONNUE (SAI) (DOUBLE CODAGE)|
||||H4U5|Ne plus utiliser - ACTIVATION HISTIOCYTAIRE (SYNDROME D') : DE CAUSE INCONNUE (SAI)|
||||H4U6|LYMPHOHISTIOCYTOSE FAMILIALE ERYTHROPHAGOCYTAIRE - MALADIE DE FARQUHAR|
Syndrome lymphoprolifératif, SAI|M-9970/1|99701||H4U7|SYNDROME LYMPHOPROLIFERATIF LIE A L'X - SYNDROME DE PURTILLO|
Leucémie aiguë, SAI|M-9801/3|98013||H7A0|LEUCEMIE AIGUE (SAI)|
Leucémie lymphoblastique à cellules précurseurs, SAI (voir aussi M-9727/3)|M-9835/3|98353||H7A1|LEUCEMIE AIGUE LYMPHOBLASTIQUE (SAI)|
Leucémie lymphoblastique à cellules précurseurs B (voir aussi M-9728/3)|M-9836/3|98363||H7A2|Ne plus utiliser - LEUCEMIE AIGUE LYMPHOBLASTIQUE PRE B (CF J7K0)|
Leucémie lymphoblastique à cellules précurseurs B (voir aussi M-9728/3)|M-9836/3|98363||H7A3|Ne plus utiliser - LEUCEMIE AIGUE LYMPHOBLASTIQUE B (CF J7K0)|
Leucémie lymphoblastique à cellules précurseurs T (voir aussi M-9729/3)|M-9837/3|98373||H7A4|Ne plus utiliser - LEUCEMIE AIGUE LYMPHOBLASTIQUE T (CF J7S3)|
Leucémie lymphoblastique à cellules précurseurs, SAI (voir aussi M-9727/3)|M-9835/3|98353||H7A5|Ne plus utiliser - LEUCEMIE AIGUE LYMPHOBLASTIQUE NON B NON T (CF H7A9)|
Leucémie lymphoblastique à cellules précurseurs, SAI (voir aussi M-9727/3)|M-9835/3|98353||H7A9|LEUCEMIE AIGUE LYMPHOBLASTIQUE DIFFICILE A CLASSER|
Leucémie lymphoblastique à cellules précurseurs, SAI (voir aussi M-9727/3)|M-9835/3|98353||H7B1|Ne plus utiliser - L1 FAB - LEUCEMIE AIGUE COMMUNE DE L'ENFANT (CF J7K0)|
Leucémie aiguë, SAI|M-9801/3|98013||H7B2|Ne plus utiliser - L2 FAB - LEUCEMIE AIGUE INDIFFERENCIEE (CF J7K0)|
Leucémie à cellules de Burkitt (voir aussi M-9687/3)|M-9826/3|98263||H7B3|LEUCEMIE AIGUE A CELLULES DE BURKITT (LAL 3)|
Leucémie aiguë myéloïde, SAI (type FAB ou OMS  non précisé) (voir aussi M-9930/3)|M-9861/3|98613||H7C0|LEUCEMIE MYELOIDE AIGUE (SAI)|
Leucémie aiguë myéloïde, à différenciation minimale|M-9872/3|98723||H7C1|LEUCEMIE MYELOBLASTIQUE AIGUE PEU DIFFERENCIEE|
Leucémie aiguë myéloïde avec maturation|M-9874/3|98743||H7C2|LEUCEMIE MYELOBLASTIQUE AIGUE AVEC MATURATION|
Leucémie promyélocytaire aiguë, t(15;17)(q22;q11-12)|M-9866/3|98663||H7C3|Ne plus utiliser - M3 FAB - LEUCEMIE AIGUE PROMYELOCYTAIRE HYPERGRANULEUSE (CF H7J2)|
Leucémie aiguë myélomonocytaire|M-9867/3|98673||H7C4|LEUCEMIE AIGUE MYELOMONOCYTAIRE|
Leucémie aiguë monocytaire|M-9891/3|98913||H7C5|LEUCEMIE AIGUE MONOCYTAIRE|
Leucémie aiguë monocytaire|M-9891/3|98913||H7C6|LEUCEMIE MONOBLASTIQUE AIGUE|
Leucémie aiguë monocytaire|M-9891/3|98913||H7C7|Ne plus utiliser - M5 FAB- LEUCEMIE AIGUE MONOCYTIQUE DIFFERENCIEE (CF H7C5)|
Leucémie myéloïde aiguë, type M6|M-9840/3|98403||H7C8|LEUCEMIE AIGUE ERYTHROBLASTIQUE|
Sarcome myéloïde (voir aussi M-9861/3)|M-9930/3|99303||H7D1|SARCOME MYELOIDE|
Leucémie mégacaryoblastique aiguë|M-9910/3|99103||H7D2|Ne plus utiliser - LEUCEMIE AIGUE A MEGACARYOBLASTES (CF H7D3)|
Leucémie mégacaryoblastique aiguë|M-9910/3|99103||H7D3|LEUCEMIE AIGUE MEGACAYOCYTAIRE|
Leucémie aiguë à basophiles|M-9870/3|98703||H7D4|LEUCEMIE AIGUE BASOPHILE|
Panmyélose aiguë avec myélofibrose (C42.1)|M-9931/3|99313||H7D5|PANMYELOSE AIGUE AVEC MYELOFIBROSE|
Leucémie aiguë, SAI|M-9801/3|98013||H7D6|LEUCEMIE AIGUE DE LIGNEE AMBIGUË|
Leucémie biphénotypique aiguë|M-9805/3|98053||H7D7|LEUCEMIE AIGUE BIPHENOTYPIQUE - LEUCEMIE AIGUE DE DOUBLE LIGNEE|
Leucémie aiguë, SAI|M-9801/3|98013|G|H7D8|Ne plus utiliser - ACUTISATION D'UN SYNDROME PROLIFERATIF CHRONIQUE OU D'UNE MYELODYSPLASIE|
Leucémie aiguë, SAI|M-9801/3|98013||H7D9|LEUCEMIE AIGUE INCLASSABLE - LEUCEMIE AIGUE INDIFFERENCIEE|
Leucémie aiguë, SAI|M-9801/3|98013|G|H7E0|LEUCEMIE AIGUE EN COURS DE TRAITEMENT (SAI)|
Leucémie aiguë, SAI|M-9801/3|98013|G|H7E2|LEUCEMIE AIGUE EN COURS DE TRAITEMENT AVEC ABSENCE DE BLASTES|
Leucémie aiguë, SAI|M-9801/3|98013|G|H7E4|LEUCEMIE AIGUE EN COURS DE TRAITEMENT AVEC PERSISTANCE DE BLASTES|
Leucémie myéloïde aiguë secondaire à une thérapie, SAI|M-9920/3|99203|G|H7F0|LEUCEMIE AIGUE TRAITEE (SAI)|
Leucémie aiguë, SAI|M-9801/3|98013|G|H7F2|LEUCEMIE AIGUE TRAITEE EN REMISSION|
Leucémie aiguë, SAI|M-9801/3|98013|G|H7F4|LEUCEMIE AIGUE TRAITEE EN RECHUTE|
Leucémie aiguë, SAI|M-9801/3|98013|G|H7G0|LEUCEMIE AIGUE GREFFEE (SAI)|
Leucémie aiguë, SAI|M-9801/3|98013|G|H7G2|LEUCEMIE AIGUE ALLOGREFFEE|
Leucémie aiguë, SAI|M-9801/3|98013|G|H7G4|LEUCEMIE AIGUE AUTOGREFFEE|
Syndrome myélodysplasique, SAI|M-9989/3|99893||H7H0|SYNDROME MYELODYSPLASIQUE (SAI)|
Anémie réfractaire|M-9980/3|99803||H7H1|ANEMIE REFRACTAIRE|
Anémie réfractaire avec sidéroblastes|M-9982/3|99823||H7H2|ANEMIE REFRACTAIRE AVEC SIDEROBLASTES EN ANNEAU|
Anémie réfractaire|M-9980/3|99803|G|H7H3|ANEMIE REFRACTAIRE SANS SIDEROBLASTES EN ANNEAU|
Anémie réfractaire avec dysplasie de plusieurs lignées cellulaires|M-9985/3|99853||H7H4|SYNDROME MYELODYSPLASIQUE AVEC DYSPLASIE MULTI-LIGNEE|
Anémie réfractaire avec excès de blastes|M-9983/3|99833||H7H5|SYNDROME MYELODYSPLASIQUE AVEC EXCES DE BLASTES|
Syndrome myélodysplasique avec syndrome de délétion du bras court du chromosome 5 (5q-)|M-9986/3|99863||H7H6|SYNDROME MYELODYSPLASIQUE 5q-|
Syndrome myélodysplasique, SAI|M-9989/3|99893|G|H7H9|SYNDROME MYELODYSPLASIQUE INCLASSABLE|
