LESION|LIBLESION
E6T7|CARCINOME EPIDERMOIDE MICRO-INVASIF SUR MALADIE DE BOWEN - CARCINOME DE BOWEN
E6T9|CARCINOME EPIDERMOIDE MICRO-INVASIF SUR LESION PRE-EXISTANTE (SAI)
E7A0|CARCINOME EPIDERMOIDE (SAI)
E7T0|CARCINOME EPIDERMOIDE INVASIF (SAI)
E7T1|CARCINOME EPIDERMOIDE DIFFERENCIE NON KERATINISANT
E7T2|CARCINOME EPIDERMOIDE DIFFERENCIE KERATINISANT OU MATURE
E7T3|CARCINOME EPIDERMOIDE MOYENNEMENT DIFFERENCIE OU PLUS OU MOINS KERATINISANT
E7T4|CARCINOME EPIDERMOIDE PEU DIFFERENCIE
E7T5|CARCINOME EPIDERMOIDE DYSKERATOSIQUE
E7T6|CARCINOME EPIDERMOIDE SUPERFICIEL
E7T7|CARCINOME EPIDERMOIDE INVASIF SUR MALADIE DE BOWEN - CARCINOME DE BOWEN
E7T9|CARCINOME EPIDERMOIDE SUR LESION PRE-EXISTANTE (SAI)
E7V1|CARCINOME EPIDERMOIDE ADENOIDE
E7V2|CARCINOME EPIDERMOIDE A CELLULES CLAIRES
E7V4|CARCINOME EPIDERMOIDE A CELLULES FUSIFORMES
E7V6|CARCINOME EPIDERMOIDE A CELLULES GEANTES
E7V8|CARCINOME CLOACOGENIQUE EPIDERMOIDE A PETITES CELLULES BASALOIDE
E7V9|CARCINOME CLOACOGENIQUE EPIDERMOIDE NON KERATINISANT A GRANDES CELLULES
E7W2|CARCINOME EPIDERMOIDE NON KERATINISANT A TYPE DE CARCINOME NASO-PHARYNGIEN
E7W3|CARCINOME EPIDERMOIDE KERATINISANT A TYPE DE CARCINOME NASO-PHARYNGIEN
E7W4|CARCINOME EPIDERMOIDE VERRUQUEUX - CARCINOME CUNICULATUM
E7W6|CARCINOME EPIDERMOIDE A STROMA SARCOMATOIDE
E7X1|CARCINOME EPIDERMOIDE ENDOLUMINAL
F0A0|FIBROME (SAI)
F0A1|TUMEUR FIBREUSE SOLITAIRE
F0A3|FIBROBLASTOME DESMOPLASTIQUE
F0B1|COUSSINET FIBREUX DES PHALANGES
F0B2|ELASTOFIBROME
F0B4|FIBROME APONEVROTIQUE JUVENILE CALCIFIE - FIBROME DE KEASBY
F0B6|NAEVUS CONJONCTIF
F0B8|FIBROKERATOME ET TUMEUR DE K_NEN (EPILOIA)
F0C1|FIBROME MOLLUSCUM - FIBROME MOU - ACROCORDON - MOLLUSCUM PENDULUM
F0C2|FIBROME NASOPHARYNGIEN - ANGIOFIBROME JUVENILE
F0C4|FIBROME PERIFOLLICULAIRE
F0C6|FIBROME DE KEASBY - NE PLUS UTILISER - CF F0B4
F0C8|FIBROME DES GAINES TENDINEUSES - EX-FIBROME DES TENDONS
F0C9|FIBROBLASTOME A CELLULES GEANTES - NE PLUS UTILISER - CF F4K7
F0D1|FIBROMYXOME - MYXOME - PSEUDOMYXOME
F0D2|MYOFIBROBLASTOME - MYOFIBROBLASTOME PALISSADIQUE
F0D3|ANGIOMYOFIBROBLASTOME
F0D4|PAPULES PERLEES DE LA COURONNE DU GLAND
F0D5|ANGIOMYXOME AGRESSIF
F0E0|FIBROMATOSE (SAI)
F0E1|FASCIITE NODULAIRE - FASCIITE PEUDOSARCOMATEUSE
F0E2|FASCIITE PROLIFERATIVE
F0E3|FIBROMATOSE COLI
F0E5|FIBROMATOSE CONGENITALE HYALINE
F0E6|FIBROMATOSE CONGENITALE MULTINODULAIRE GENERALISEE - MYOFIBROMATOSE MULTICENTRIQUE
F0E7|FIBROMATOSE CONGENITALE SOLITAIRE - MYOFIBROMATOSE SOLITAIRE
F0E9|FIBROMATOSE DIGITALE INFANTILE RECIDIVANTE
F0F1|FIBROMATOSE EXTENSIVE ABDOMINALE - TUMEUR DESMOIDE ABDOMINALE
F0F2|FIBROMATOSE EXTENSIVE EXTRA-ABDOMINALE - TUMEUR DESMOIDE EXTRA-ABDOMINALE - FIBROME DESMOIDE
F0F3|FIBROMATOSE EXTENSIVE INTRA-ABDOMINALE DANS LE SYNDROME DE GARDNER
F0F6|FIBROMATOSE INFANTILE AGRESSIVE DE TYPE DESMOIDE
F0G1|FIBROMATOSE PALMAIRE - DUPUYTREN  MALADIE DE
F0G2|FIBROMATOSE PALMOPLANTAIRE
F0G3|FIBROMATOSE PLANTAIRE - LEDDERHOSE  MALADIE DE
F0G5|FIBROMATOSE POST RADIOTHERAPIQUE
F0G7|FIBROMATOSE DE LA VERGE - PEYRONIE  MALADIE DE LA
F0H2|DYSPLASIE FIBREUSE
F0H4|FIBROSE MUSCULAIRE CONGENITALE ET ACQUISE
F0H6|HAMARTOME FIBREUX DU NOURRISSON
F0H8|MYOSITE PROLIFERATIVE
F0M0|FIBROME HISTIOCYTAIRE - HISTIOCYTOFIBROME (SAI)
F0M1|FIBROME HISTIOCYTAIRE CUTANE - HISTIOCYTOFIBROME CUTANE
F0M2|FIBROME HISTIOCYTAIRE CUTANE ATYPIQUE - HISTIOCYTOFIBROME CUTANE ATYPIQUE
F0M3|FIBROME HISTIOCYTAIRE PROFOND- HISTIOCYTOFIBROME PROFOND
F0M8|HISTIOCYTOME CUTANE ANEVRISMAL
F0N0|FIBROXANTHOME BENIN
F0N8|FIBROXANTHOME ATYPIQUE
F0P0|HISTIOCYTOME (SAI)
F0P2|HISTIOCYTOMES MULTIPLES ERUPTIFS - BUSCHKE ET OLLENDORFF-CURTH  SYNDROME DE
F0P4|HISTIOCYTOME NODULAIRE PROGRESSIF
F0P6|HISTIOCYTOME PIGMENTE
F0P8|RETICULOHISTIOCYTOME (FORME CUTANEE)
F0P9|RETICULOHISTIOCYTOME CONGENITAL DE HASHIMOTO ET PRITZKER SPONTANEMENT RESOLUTIF
F0R0|XANTHOME (SAI)
F0R2|XANTHOME ERUPTIF PAPULOTUBEREUX
F0R4|XANTHOME JUVENILE NAEVOXANTHOENDOTHELIOME - XANTHOGRANULOME JUVENILE
F0R6|XANTHOME PLAN - XANTHELASMA
F0R9|XANTHOMATOSE DISSEMINEE DE MONTGOMERY-OSTERBERG - HISTIOCYTOMES ERUPTIFS GENERALISES
F4A0|TUMEUR FIBROBLASTIQUE A MALIGNITE INCERTAINE - NE PLUS UTILISER
F4A3|TUMEUR FIBROHISTIOCYTIQUE PLEXIFORME
F4A5|FIBROSARCOME INFLAMMATOIRE - TUMEUR MYOFIBROBLASTIQUE INFLAMMATOIRE (OMS)
F4D5|ANGIOMYXOME AGRESSIF - NE PLUS UTILISER
F4K0|DERMATOFIBROSARCOME PROGRESSIF ET RECIDIVANT - DERMATOFIBROME DE DARIER-FERRAND
F4K3|DERMATOFIBROSARCOME PROGRESSIF ET RECIDIVANT AVEC CONTINGENT FIBROSARCOMATEUX- DERMATOFIBROME DE DARIER-FERRAND AVEC CONTINGENT FIBROSARCOMATEUX
F4K5|DERMATOFIBROSARCOME PROGRESSIF ET RECIDIVANT PIGMENTE - TUMEUR DE BEDNAR
F4K7|FIBROBLASTOME A CELLULES GEANTES
F4M8|HISTIOCYTOFIBROME ANGIOMATOIDE (PROFOND)
F7A0|FIBROSARCOME (SAI)
F7A1|TUMEUR FIBREUSE SOLITAIRE MALIGNE
F7A2|FIBROSARCOME CONGENITAL
F7A4|FIBROSARCOME RADIO-INDUIT - FIBROSARCOME EN TERRITOIRE IRRADIE
F7A6|FIBROSARCOME SUR CICATRICE
F7D0|MYXOSARCOME - FIBROMYXOSARCOME - MYXOFIBROSARCOME
F7D1|SARCOME FIBROMYXOIDE DE BAS GRADE D'EVANS
F7D6|TUMEUR HYALINISANTE AVEC ROSETTES GEANTES
F7M0|HISTIOCYTOME FIBREUX MALIN (SAI)
F7M2|HISTIOCYTOME FIBREUX MALIN TYPE STORIFORME ET PLEOMORPHE
F7M3|HISTIOCYTOME FIBREUX MALIN TYPE MYXOIDE
F7M5|HISTIOCYTOME FIBREUX MALIN A CELLULES GEANTES
F7M7|HISTIOCYTOME FIBREUX MALIN DE TYPE INFLAMMATOIRE
F7M8|HISTIOCYTOME FIBREUX MALIN DE TYPE ANGIOMATOIDE - NE PLUS UTILISER CF F4M8
F7N0|FIBROXANTHOME MALIN (SAI)
F7R0|XANTHOME MALIN - HISTIOCYTOXANTHOME MALIN (SAI)
G0A0|TUMEUR GERMINATIVE BENIGNE (SAI)
G0A2|CYSTADENOME SEREUX DE L'OVAIRE - CYSTADENOME PAPILLAIRE SEREUX DE L'OVAIRE
G0A4|PAPILLOME SEREUX DE SURFACE DE L'OVAIRE
G0A6|ADENOFIBROME SEREUX DE L'OVAIRE - CYSTADENOFIBROME SEREUX DE L'OVAIRE
G0B2|CYSTADENOME MUCINEUX DE L'OVAIRE
G0B4|ADENOFIBROME MUCINEUX DE L'OVAIRE - CYSTADENOFIBROME MUCINEUX DE L'OVAIRE
G0C2|ADENOME ENDOMETRIOIDE DE L'OVAIRE - CYSTADENOME ENDOMETRIOIDE DE L'OVAIRE
G0C4|ADENOFIBROME ENDOMETRIOIDE DE L'OVAIRE - CYSTADENOFIBROME ENDOMETRIOIDE DE L'OVAIRE
G0D2|TUMEUR BENIGNE A CELLULES CLAIRES (MESONEPHROIDE) DE L'OVAIRE- ADENOFIBROME A CELLULES CLAIRES DE L'OVAIRE
G0E4|TUMEUR DE BRENNER BENIGNE
G0E6|TUMEUR MIXTE EPITHELIALE BENIGNE DE L'OVAIRE
G0G0|TERATOME MATURE (SAI)
G0G1|TERATOME MATURE KYSTIQUE - KYSTE DERMOIDE
G0G3|KYSTE ENTEROIDE
G0G4|STRUME - GOITRE GONADIQUE
G0N0|THECOME - FIBROTHECOME
G0R0|ANDROBLASTOME BENIN (SAI)
G0R1|ANDROBLASTOME TUBULAIRE DE PICK - TUMEUR A CELLULES DE SERTOLI - ADENOME TUBULE DE PICK
G0R2|NODULE SERTOLIEN DU TESTICULE CRYPTORCHIDE
G0R3|ANDROBLASTOME A CELLULES DE SERTOLI LIPIDIQUE - TUMEUR A CELLULES DE SERTOLI LIPIDIQUE - FOLLICULOME LIPIDIQUE DE LECENE
G0R4|TUMEUR A CELLULES DE SERTOLI ET LEYDIG DIFFERENCIEE
G0R5|TUMEUR A CELLULES DE LEYDIG - TUMEUR A CELLULES DU HILE DE L'OVAIRE
G0R6|TUMEUR A CELLULES DE SERTOLI ET LEYDIG A DIFFERENCIATION INTERMEDIAIRE OU INCOMPLETEMENT DIFFERENCIE
G0R7|TUMEUR A CELLULES DE SERTOLI ET LEYDIG PEU DIFFERENCIE OU INDIFFERENCIE (TUMEUR SARCOMATOIDE)
G0R8|TUMEUR A CELLULES DE SERTOLI ET LEYDIG AVEC DIFFERENCIATION HETEROLOGUE
G0R9|TUMEUR A CELLULES DE SERTOLI ET LEYDIG DE TYPE RETIFORME
G0S0|LUTEOME ET LUTEOSE GRAVIDIQUE
G0U0|TUMEUR A CELLULES STEROIDIENNES BENIGNE SANS AUTRE SPECIFICATION (SAS)
G0U1|LUTEOME STROMAL
G0W0|GONADOBLASTOME (SAI)
G0W1|PFLUGEROME
G0W9|GONADOBLASTOSE
G4A0|TUMEUR GERMINATIVE A LA LIMITE DE LA MALIGNITE (SAI)
G4A2|CYSTADENOME SEREUX DE L'OVAIRE A LA LIMITE DE LA MALIGNITE - CYSTADENOME PAPILLAIRE SEREUX DE L'OVAIRE A LA LIMITE DE LA MALIGNITE
G4A4|PAPILLOME SEREUX DE SURFACE DE L'OVAIRE A LA LIMITE DE LA MALIGNITE
G4A6|ADENOFIBROME SEREUX DE L'OVAIRE A LA LIMITE DE LA MALIGNITE - CYSTADENOFIBROME SEREUX DE L'OVAIRE A LA LIMITE DE LA MALIGNITE
G4B2|CYSTADENOME MUCINEUX DE L'OVAIRE A LA LIMITE DE LA MALIGNITE
G4B4|ADENOFIBROME MUCINEUX DE L'OVAIRE A LA LIMITE DE LA MALIGNITE - CYSTADENOFIBROME MUCINEUX DE L'OVAIRE A LA LIMITE DE LA MALIGNITE
G4C2|ADENOME ENDOMETRIOIDE DE L'OVAIRE A LA LIMITE DE LA MALIGNITE - CYSTADENOME ENDOMETRIOIDE DE L'OVAIRE A LA LIMITE DE LA MALIGNITE
G4C4|ADENOFIBROME ENDOMETRIOIDE DE L'OVAIRE A LA LIMITE DE LA MALIGNITE - CYSTADENOFIBROME ENDOMETRIOIDE DE L'OVAIRE A LA LIMITE DE LA MALIGNITE
G4D2|TUMEUR A CELLULES CLAIRES DE L'OVAIRE A LA LIMITE DE LA MALIGNITE
G4E4|TUMEUR DE BRENNER A LA LIMITE DE LA MALIGNITE
G4E6|TUMEUR MIXTE EPITHELIALE DE L'OVAIRE A LA LIMITE DE LA MALIGNITE
G4P0|TUMEUR DE LA GRANULOSA - FOLLICULOME
G4P2|TUMEUR DE LA GRANULOSA JUVENILE
G4P4|TUMEUR DE LA GRANULOSA ET DE LA THEQUE - FOLLICULOTHECOME
G7A0|TUMEUR GERMINATIVE MALIGNE (SAI)
G7A2|ADENOCARCINOME SEREUX DE L'OVAIRE - ADENOCARCINOME PAPILLAIRE SEREUX DE L'OVAIRE - CYSTADENOCARCINOME PAPILLAIRE SEREUX DE L'OVAIRE
G7A4|CARCINOME PAPILLAIRE SEREUX DE SURFACE DE L'OVAIRE
G7A6|ADENOFIBROME MALIN SEREUX DE L'OVAIRE - CYSTADENOFIBROME MALIN SEREUX DE L'OVAIRE
G7B2|ADENOCARCINOME MUCINEUX DE L'OVAIRE - CYSTADENOCARCINOME MUCINEUX DE L'OVAIRE
G7B4|ADENOFIBROME MALIN MUCINEUX DE L'OVAIRE - CYSTADENOFIBROME MALIN MUCINEUX DE L'OVAIRE
G7C2|ADENOCARCINOME ENDOMETRIOIDE DE L'OVAIRE
G7C3|ADENOACANTHOME ENDOMETRIOIDE DE L'OVAIRE
G7C4|ADENOFIBROME MALIN ENDOMETRIOIDE DE L'OVAIRE - CYSTADENOFIBROME MALIN ENDOMETRIOIDE DE L'OVAIRE
G7D2|TUMEUR GERMINATIVE MALIGNE A CELLULES CLAIRES - CARCINOME A CELLULES CLAIRES DE L'OVAIRE - ADENOCARCINOME A CELLULES CLAIRES DE L'OVAIRE
G7E4|TUMEUR DE BRENNER MALIGNE
G7E6|TUMEUR MIXTE EPITHELIALE MALIGNE DE L'OVAIRE
G7F2|TUMEUR GERMINATIVE MALIGNE INDIFFERENCIEE - CARCINOME INDIFFERENCIE D'ORIGINE GERMINATIVE
G7G0|TERATOME MATURE CANCERISE (SAI)
G7G5|TERATOME MATURE AVEC CARCINOIDE
G7G6|TERATOME MATURE AVEC CARCINOME EPIDERMOIDE
G7G7|TERATOME MATURE AVEC CARCINOME THYROIDIEN
G7G8|STRUME GONADIQUE ET CARCINOIDE
G7H0|TUMEUR GERMINALE IMMATURE (SAI)
G7H1|TERATOME IMMATURE (SAI)
G7H2|TERATOME IMMATURE AVEC COMPOSANTE MATURE
G7H3|TERATOCARCINOME
G7H5|CARCINOME EMBRYONNAIRE
G7H6|CARCINOME EMBRYONNAIRE TYPE INFANTILE - TUMEUR VITELLINE - TUMEUR DU SINUS ENDODERMIQUE
G7H8|POLYEMBRYOME
G7K0|SEMINOME - DYSGERMINOME (SAI)
G7K2|SEMINOME ANAPLASIQUE
G7K4|SEMINOME SPERMATOCYTAIRE
G7L0|TUMEUR GERMINALE CICATRICIELLE
G7M0|TUMEUR GERMINALE ASSOCIEE (SAI)
G7M1|CARCINOME EMBRYONNAIRE ET SEMINOME
G7M2|CARCINOME EMBRYONNAIRE ET TUMEUR VITELLINE
G7M3|CARCINOME EMBRYONNAIRE ET POLYEMBRYOME
G7M4|TERATOCARCINOME ET SEMINOME
G7M5|TERATOCARCINOME ET TUMEUR VITELLINE
G7M6|TERATOME IMMATURE ET SEMINOME
G7P0|TUMEUR MALIGNE DE LA GRANULOSA - FOLLICULOME MALIN
G7R0|TUMEUR A CELLULE DE SERTOLI ET LEYDIG MALIGNE (SAI)
G7R5|TUMEUR A CELLULES DE LEYDIG MALIGNE
G7R7|TUMEUR A CELLULES DE SERTOLI ET LEYDIG INDIFFERENCIEE MALIGNE
G7T0|TUMEUR DES CORDONS SEXUELS A TUBULES ANNELES
G7U0|TUMEUR A CELLULES STEROIDIENNES MALIGNE SANS AUTRE SPECIFICATION (SAS)
G7V0|GYNANDROBLASTOME
G7W0|GONADOBLASTOME ASSOCIE A UNE TUMEUR GERMINALE
G7W9|GONADOBLASTOSE ASSOCIEE A UNE TUMEUR GERMINALE
H0P0|HISTIOCYTOSE BENIGNE (SAI)
H0P1|DERMO-ARTHRITE HISTIOCYTAIRE FAMILIALE DE ZAID
H0P2|HISTIOCYTES BLEU DE MER SYNDROME DES
H0P6|HISTIOCYTOSE INFANTILE DE GIANNOTI
H0R0|HISTIOCYTOSE X BENIGNE (SAI)
H0R1|GRANULOME EOSINOPHILIQUE - GRANULOME LANGERHANSIEN
H0R2|GRANULOME EOSINOPHILE CUTANEOMUQUEUX PERI-ORIFICIEL
H0R4|HISTIOCYTOSE X A FORME PLURIFOCALE ET PLURIVISCERALE
H0R6|HANS-SCHULLER-CHRISTIAN  MALADIE DE
H0S0|RETICULOHISTIOCYTOSE - RETICULOSE (SAI)
H0S2|RETICULOHISTIOCYTOSE AUTO-EVOLUTIVE DE HASHIMOTO-PRITZKER
H0S3|RETICULOHISTIOCYTOSE MULTICENTRIQUE - DERMATO-ARTHRITE LIPOIDE - RETICULO-HISTIOCYTOME A LOCALISATIONS CUTANEE ET VISCERALE
H0S4|RETICULOSE DE CROSTI
H0V0|MASTOCYTOSE CUTANEE
H0V2|MASTOCYTOSE PIGMENTEE ERUPTIVE- URTICAIRE PIGMENTAIRE
H0V4|MASTOCYTOME BENIN
H0V6|MASTOCYTOSE BULLEUSE
H0V8|MASTOCYTOSE PAPULEUSE ET NODULAIRE
H0V9|MASTOCYTOSE CUTANEE DIFFUSE
H4R0|HISTIOCYTOSE X D'EVOLUTION INCERTAINE
H4U0|NE PLUS UTILISER - ACTIVATION HISTIOCYTAIRE: SYNDROME D' (SAI) Cf. FF0515 SG0515 SM0515 SR0515
H4U1|NE PLUS UTILISER - ACTIVATION HISTIOCYTAIRE (SYNDROME D') : DE CAUSE CONNUE (SAI) (DOUBLE CODAGE)
H4U5|NE PLUS UTILISER - ACTIVATION HISTIOCYTAIRE (SYNDROME D') : DE CAUSE INCONNUE (SAI)
H4U6|LYMPHOHISTIOCYTOSE FAMILIALE ERYTHROPHAGOCYTAIRE - MALADIE DE FARQUHAR
H4U7|SYNDROME LYMPHOPROLIFERATIF LIE A L'X - SYNDROME DE PURTILLO
H7A0|LEUCEMIE AIGUE (SAI)
H7A1|LEUCEMIE AIGUE LYMPHOBLASTIQUE (SAI)
H7A2|LEUCEMIE AIGUE LYMPHOBLASTIQUE PRE B
H7A3|LEUCEMIE AIGUE LYMPHOBLASTIQUE B
H7A4|LEUCEMIE AIGUE LYMPHOBLASTIQUE T
H7A5|LEUCEMIE AIGUE LYMPHOBLASTIQUE NON B NON T
H7A9|LEUCEMIE AIGUE LYMPHOBLASTIQUE DIFFICILE A CLASSER
H7B1|L1 FAB - LEUCEMIE AIGUE COMMUNE DE L'ENFANT
H7B2|L2 FAB - LEUCEMIE AIGUE INDIFFERENCIEE
H7B3|L3 FAB - LEUCEMIE AIGUE TYPE BURKITT
H7C1|M1 FAB - LEUCEMIE AIGUE MYELOBLASTIQUE SANS MATURATION
H7C2|M2 FAB - LEUCEMIE AIGUE MYELOBLASTIQUE AVEC MATURATION
H7C3|M3 FAB - LEUCEMIE AIGUE PROMYELOCYTAIRE HYPERGRANULEUSE
H7C4|M4 FAB - LEUCEMIE AIGUE MYELOMONOCYTIQUE
H7C5|M5 FAB - LEUCEMIE AIGUE MONOCYTIQUE (SAI)
H7C6|M5 FAB - LEUCEMIE AIGUE MONOCYTIQUE PEU DIFFERENCIEE - LEUCEMIE AIGUE MONOBLASTIQUE
H7C7|M5 FAB- LEUCEMIE AIGUE MONOCYTIQUE DIFFERENCIEE
H7C8|M6 FAB - ERYTHROLEUCOSE
H7D1|SARCOME GRANULOCYTAIRE - CHLOROME
H7D2|LEUCEMIE AIGUE A MEGACARYOBLASTES
H7D3|LEUCEMIE AIGUE A MEGACARYOCYTES
H7D5|MYELOFIBROSE AIGUE
H7D8|ACUTISATION D'UN SYNDROME PROLIFERATIF CHRONIQUE OU D'UNE MYELODYSPLASIE
H7E0|LEUCEMIE AIGUE EN COURS DE TRAITEMENT (SAI)
H7E2|LEUCEMIE AIGUE EN COURS DE TRAITEMENT AVEC ABSENCE DE BLASTES
H7E4|LEUCEMIE AIGUE EN COURS DE TRAITEMENT AVEC PERSISTANCE DE BLASTES
H7F0|LEUCEMIE AIGUE TRAITEE (SAI)
H7F2|LEUCEMIE AIGUE TRAITEE EN REMISSION
H7F4|LEUCEMIE AIGUE TRAITEE EN RECHUTE
H7G0|LEUCEMIE AIGUE GREFFEE (SAI)
H7G2|LEUCEMIE AIGUE ALLOGREFFEE
H7G4|LEUCEMIE AIGUE AUTOGREFFEE
H7L0|LEUCEMIE SUBAIGUE ET CHRONIQUE (SAI)
H7L1|LEUCEMIE MYELOMONOCYTAIRE SUBAIGUE
H7L2|LEUCEMIE MYELOMONOCYTAIRE CHRONIQUE
H7L4|LEUCEMIE MYELOIDE SUBAIGUE
H7L5|LEUCEMIE MYELOIDE CHRONIQUE
H7L6|LEUCEMIE MYELOIDE CHRONIQUE JUVENILE
H7L7|LEUCEMIE A POLYNUCLEAIRES
H7L8|LEUCEMIE A POLYNUCLEAIRES EOSINOPHILES
H7M0|SYNDROME MYELOPROLIFERATIF CHRONIQUE (SAI)
H7M1|MYELOFIBROSE IDIOPATHIQUE AVEC SPLENOMEGALIE (SAI)
H7M2|MYELOFIBROSE IDIOPATHIQUE AVEC SPLENOMEGALIE STADE I - MYELOFIBROSE DEBUTANTE
H7M3|MYELOFIBROSE IDIOPATHIQUE AVEC SPLENOMEGALIE STADE II - MYELOFIBROSE AVANCEE
H7M4|MYELOFIBROSE IDIOPATHIQUE AVEC SPLENOMEGALIE STADE III - OSTEOMYELOSCLEROSE
H7N2|POLYGLOBULIE DE VAQUEZ
H7N4|THROMBOCYTEMIE ESSENTIELLE
H7N6|SYNDROME MYELOPROLIFERATIF TRAITE
H7N8|SYNDROME MYELOPROLIFERATIF NON CLASSABLE
H7R0|HISTIOCYTOSE X MALIGNE - LETTERER-SIWE  MALADIE DE
H7T0|HISTIOCYTOSE MALIGNE - LYMPHOME MALIN HISTIOCYTAIRE (SAI)
H7T2|HISTIOCYTOSE MALIGNE DE SCOTT ET ROBB-SMITH
H7T4|SARCOME A CELLULES INTERDIGITEES
H7T6|SARCOME A CELLULES FOLLICULAIRES DENDRITIQUES
H7V0|MASTOCYTOSE MALIGNE CUTANEOVISCERALE
H7W0|MYELOME PLASMOCYTAIRE (SAI)
H7W1|PLASMOCYTOME SOLITAIRE
H7W2|MYELOME A IGG
H7W3|MYELOME A IGA
H7W4|MYELOME A IGM
H7W5|MYELOME A IGD
H7W6|MYELOME A IGE
H7W7|MYELOME NON EXCRETANT
H7W8|MYELOME NON SECRETANT
H7W9|MYELOMATOSE DIFFUSE
H7X1|MYELOME A CHAINE LEGERE KAPPA
H7X2|MYELOME A CHAINE LEGERE LAMBDA
H7X9|MYELOME TRAITE
H7Z0|LEUCEMIE A PLASMOCYTES
J7A0|LYMPHOME MALIN DE TYPE B DE FAIBLE MALIGNITE (SAI)
J7A1|NEOPLASIE A CELLULE B - LYMPHOME B
J7B0|LYMPHOME MALIN LYMPHOCYTIQUE (LLC-B)
J7B2|LYMPHOME MALIN PROLYMPHOCYTIQUE B
J7B4|LYMPHOME MALIN A TYPE DE LEUCEMIE A TRICHOLEUCOCYTES
J7C0|LYMPHOME MALIN LYMPHOPLASMOCYTAIRE (SAI)
J7C1|LYMPHOME MALIN LYMPHOPLASMOCYTAIRE DE TYPE MALT
J7C2|LYMPHOME MALIN LYMPHOPLASMOCYTIQUE
J7C3|LYMPHOME MALIN LYMPHOPLASMOCYTIQUE DE TYPE MALT
J7C4|LYMPHOME MALIN LYMPHOPLASMOCYTOIDE - WALDENSTROM  MLADTE DE
J7C5|LYMPHOME MALIN LYMPHOPLASMOCYTOIDE DE TYPE MALT
J7C7|LYMPHOME MALIN LYMPHOPLASMOCYTAIRE POLYMORPHE
J7C8|LYMPHOME MALIN LYMPHOPLASMOCYTAIRE POLYMORPHE DE TYPE MALT
J7D0|LYMPHOME MALIN PLASMOCYTAIRE - MYELOME EXTRA-OSSEUX
J7E0|LYMPHOME MALIN CENTROCYTIQUE (SAI)
J7E2|LYMPHOME MALIN CENTROCYTIQUE DE TYPE MALT
J7E4|LYMPHOME MALIN CENTROCYTIQUE A PETITES CELLULES
J7E6|LYMPHOME MALIN CENTROCYTIQUE A GRANDES CELLULES
J7F0|LYMPHOME MALIN CENTROBLASTIQUE CENTROCYTIQUE (SAI)
J7F2|LYMPHOME MALIN CENTROBLASTIQUE CENTROCYTIQUE AVEC FIBROSE
J7F4|LYMPHOME MALIN CENTROBLASTIQUE CENTROCYTIQUE FOLLICULAIRE
J7F5|LYMPHOME MALIN CENTROBLASTIQUE CENTROCYTIQUE FOLLICULAIRE ET DIFFUS
J7F6|LYMPHOME MALIN CENTROBLASTIQUE CENTROCYTIQUE DIFFUS
J7G0|LYMPHOME MALIN DE TYPE B DE GRANDE MALIGNITE
J7G2|LYMPHOME MALIN B DE GRANDE MALIGNITE SECONDAIRE A LM FAIBLE MALIGNITE
J7G4|LYMPHOME MALIN B DE GRANDE MALIGNITE SECONDAIRE A LM FAIBLE MALIGNITE DE TYPE MALT
J7G6|RICHTER  SYNDROME DE
J7H0|LYMPHOME MALIN CENTROBLASTIQUE (SAI)
J7H1|LYMPHOME MALIN CENTROBLASTIQUE FOLLICULAIRE
J7H2|LYMPHOME MALIN CENTROBLASTIQUE FOLLICULAIRE ET DIFFUS
J7H3|LYMPHOME MALIN CENTROBLASTIQUE DIFFUS
J7H4|LYMPHOME MALIN CENTROBLASTIQUE PUR (MONOMORPHE)
J7H6|LYMPHOME MALIN CENTROBLASTIQUE POLYMORPHE
J7H7|LYMPHOME MALIN CENTROBLASTIQUE A NOYAU MULTILOBE
J7H8|LYMPHOME MALIN CENTROBLASTIQUE CENTROCYTOIDE
J7J0|LYMPHOME MALIN IMMUNOBLASTIQUE B (SAI)
J7J1|LYMPHOME MALIN IMMUNOBLASTIQUE B AVEC DIFFERENCIATION PLASMOBLASTIQUE
J7J3|LYMPHOME MALIN IMMUNOBLASTIQUE B RICHE EN LYMPHOCYTES
J7J4|LYMPHOME MALIN A GRANDES CELLULES ANAPLASIQUES (SAI)
J7J5|LYMPHOME MALIN A GRANDES CELLULES ANAPLASIQUES B
J7J6|LYMPHOME MALIN A GRANDES CELLULES ANAPLASIQUES NUL
J7K0|LYMPHOME MALIN LYMPHOBLASTIQUE B (SAI)
J7K1|LYMPHOME MALIN LYMPHOBLASTIQUE PRE B
J7K2|LYMPHOME MALIN LYMPHOBLASTIQUE PRE PRE B
J7K3|LYMPHOME MALIN LYMPHOBLASTIQUE A NOYAU CONVOLUTE
J7K5|LYMPHOME MALIN DE BURKITT (EBV +)
J7K6|LYMPHOME MALIN DE TYPE BURKITT
J7K7|LYMPHOME MALIN DE TYPE BURKITT AVEC DIFFERENCIATION PLASMOCYTAIRE
J7L0|LYMPHOME MALIN B RARE
J7L1|LYMPHOME MALIN B DES LYMPHOCYTES SINUSAUX - LYMPHOME MALIN B MONOCYTOIDE
J7L3|LYMPHOME MALIN B A CELLULES EN BAGUE A CHATON
J7L5|LYMPHOME MALIN B (LLC) A INCLUSIONS CRISTALLINES
J7L7|LYMPHOME MALIN B DU MANTEAU NODULAIRE
J7L9|LYMPHOME MALIN B DU MANTEAU DIFFUS
